name,records
Puccinia obscura,1116
Rosa canina,1114
Hemimycena tortuosa,1112
Melampsora caprearum,1110
Lactarius hepaticus,1091
Mycena stylobates,1089
Russula heterophylla,1089
Lycoperdon utriforme,1088
Puccinia lapsanae,1088
Erysiphe aquilegiae,1086
Puccinia caricina,1082
Tubifera ferruginosa,1082
Laurus nobilis,1078
Clitocybe phyllophila,1074
Gloeophyllum sepiarium,1072
Trichoderma pulvinatum,1072
Metatrichia floriformis,1071
Pucciniastrum epilobii,1067
Abortiporus biennis,1066
Xerocomellus porosporus,1066
Entoloma cetratum,1063
Russula densifolia,1061
Puccinia glechomatis,1060
Tapinella atrotomentosa,1055
Collybia personata,1049
Cheilymenia granulata,1048
Didymium squamulosum,1048
Russula rosea,1048
Rhodotus palmatus,1044
Calycina claroflava,1043
Postia tephroleuca,1041
Arrhenatherum elatius,1040
Mycoacia uda,1037
Legaliana badia,1032
Triphragmium ulmariae,1031
Carex,1025
Entoloma serrulatum,1025
Calluna vulgaris,1018
Milesina kriegeriana,1018
Puccinia smyrnii,1017
Inocybe sindonia,1016
Salix repens,1014
Armillaria ostoyae,1005
Alatospora acuminata,1004
Bovista nigrescens,1004
Hydnum rufescens,1002
Ascocoryne cylichnium,1001
Entoloma porphyrophaeum,998
Macrocystidia cucumis,995
Salix alba x euxina = S. x fragilis,992
Pleurotus dryinus,989
Pluteus chrysophaeus,985
Suillellus luridus,985
Rubus idaeus,979
Heracleum,976
Clavaria fumosa,975
Angelica sylvestris,973
Tricholoma sciodes,973
Rhizomarasmius setosus,972
Pseudoinonotus dryadeus,968
Galerina vittiformis,967
Leccinum variicolor,967
Puccinia circaeae,965
Amanita pantherina,960
Otidea onotica,959
Rumex acetosa,959
Hericium erinaceus,958
Roridomyces roridus,957
Rutstroemia firma,955
Nemania serpens,951
Clavaria falcata,950
Puccinia hieracii,947
Malus,942
Malva sylvestris,942
Hygrocybe lepida,941
Hygrophorus hypothejus,938
Hypholoma capnoides,938
Lactarius serifluus,932
Russula sororia,932
Trametes betulina,932
Cuphophyllus fornicatus,926
Inocybe napipes,926
Quercus ilex,925
Calyptella capula,924
Melanomma pulvis-pyrius,922
Phragmidium bulbosum,921
Trichia decipiens,920
Agaricus augustus,911
Britzelmayria multipedata,911
Psathyrella microrhiza,904
Lactarius fulvissimus,903
Puccinia ribis-pendulae,899
Schizophyllum commune,898
