severity,toxicity,dangerous,dangerous_key,lookalike,lookalike_key,character,dangerous_described,lookalike_described,verdict,REVIEW_states_for_undescribed_side,REVIEW_notes,REVIEWER
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Calocybe gambosa,calocybe-gambosa,cap_surface,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Calocybe gambosa,calocybe-gambosa,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Calocybe gambosa,calocybe-gambosa,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Clitocybe fragrans,clitocybe-fragrans,cap_surface,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Clitocybe fragrans,clitocybe-fragrans,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Clitocybe fragrans,clitocybe-fragrans,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Clitocybe metachroa,clitocybe-metachroa,cap_surface,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Clitocybe metachroa,clitocybe-metachroa,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Clitocybe metachroa,clitocybe-metachroa,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Clitocybe metachroa,clitocybe-metachroa,spore_print_colour,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Clitocybe nebularis,clitocybe-nebularis,cap_surface,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Clitocybe nebularis,clitocybe-nebularis,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Clitocybe nebularis,clitocybe-nebularis,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Clitocybe vibecina,clitocybe-vibecina,cap_surface,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Clitocybe vibecina,clitocybe-vibecina,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Clitocybe vibecina,clitocybe-vibecina,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Clitocybe vibecina,clitocybe-vibecina,spore_print_colour,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Clitopilus prunulus,clitopilus-prunulus,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Clitopilus prunulus,clitopilus-prunulus,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Cuphophyllus pratensis,cuphophyllus-pratensis,cap_surface,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Cuphophyllus pratensis,cuphophyllus-pratensis,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Cuphophyllus pratensis,cuphophyllus-pratensis,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Cuphophyllus virgineus,cuphophyllus-virgineus,cap_surface,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Cuphophyllus virgineus,cuphophyllus-virgineus,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Cuphophyllus virgineus,cuphophyllus-virgineus,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Gliophorus irrigatus,gliophorus-irrigatus,gill_attachment,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Gliophorus irrigatus,gliophorus-irrigatus,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Gliophorus irrigatus,gliophorus-irrigatus,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Gliophorus laetus,gliophorus-laetus,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Gliophorus laetus,gliophorus-laetus,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hebeloma crustuliniforme,hebeloma-crustuliniforme,gill_attachment,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
